zipcode,percentage_asian,percentage_black,percentage_two_or_more,percentage_white,percentage_other
70806,0.03908737177219668,0.48185355500530597,0.011107180756986204,0.4627166607711355,0.004987619384506544
70807,0.001910564907569968,0.9327171331199009,0.006299700506041516,0.05788495301043065,0.0011360115666632243
70805,0.0006168397244782564,0.9290977005585827,0.005997052876871937,0.05746890099722422,0.004626297933586923
76629,0.006593406593406593,0.11978021978021978,0.001098901098901099,0.8637362637362638,0.001098901098901099
18929,0.04122982683472729,0.00023559901048415596,0.013075745081870656,0.9453410295676759,0.0
18923,0.07386990077177508,0.0,0.03638368246968027,0.8886438809261301,0.0
18920,0.0,0.0,0.0,0.9972451790633609,0.0
18925,0.06995884773662552,0.009144947416552356,0.016918152720621856,0.9038256363359244,0.0
74833,0.0,0.05917159763313609,0.14201183431952663,0.6272189349112426,0.020710059171597635
74832,0.0,0.0,0.07528089887640449,0.9011235955056179,0.0
30631,0.0,0.5675675675675675,0.006193693693693694,0.42286036036036034,0.002815315315315315
30630,0.007640878701050621,0.16427889207258833,0.08404966571155682,0.720152817574021,0.0
30633,0.007035286358140046,0.020226448279652632,0.006045949214026602,0.9617456304276135,0.004616906672529405
30635,0.0012668651422056121,0.344017229365934,0.0028504465699626274,0.633179198074365,0.018179514790650535
30634,0.011404872991187144,0.17107309486780714,0.0,0.7522032141005702,0.06480041472265423
74830,0.0,0.0,0.09025270758122744,0.6462093862815884,0.0
7676,0.0434593654932638,0.003911342894393742,0.005432420686657975,0.9375271621034333,0.009561060408518035
7677,0.07241617697891461,0.0024196335983408227,0.014344970618734878,0.9033874870376771,0.007258900795022468
7675,0.10727367870225013,0.04040517305823428,0.011587052403378933,0.793040293040293,0.04631083202511774
7670,0.2768350030668575,0.0075649151502760175,0.022217678729639475,0.6828869351870783,0.0075649151502760175
74836,0.0,0.0,0.4861878453038674,0.4530386740331492,0.0
37175,0.0,0.0,0.054427294882209584,0.9447603574329814,0.0
37174,0.010142250737176372,0.053497942386831275,0.012507695797284599,0.9028547357506238,0.016655325491720944
37172,0.004033113988537466,0.15460270289393618,0.016097077761267953,0.7784263779806128,0.04263072242269865
37171,0.0,0.06301824212271974,0.024875621890547265,0.8805970149253731,0.029850746268656716
21542,0.007776049766718507,0.0,0.027993779160186624,0.9626749611197511,0.0
37179,0.009457579972183588,0.02049142327306444,0.0,0.9608715808993973,0.004079740380157626
37178,0.006779661016949152,0.00048426150121065375,0.011138014527845037,0.9612590799031477,0.0029055690072639223
83123,0.0030165912518853697,0.0,0.058823529411764705,0.8642533936651584,0.0
83122,0.0,0.0,0.0,0.9982517482517482,0.0
83121,0.0,0.0,0.0,0.8,0.0
83120,0.0,0.0,0.0,0.9988290398126464,0.0
83127,0.0,0.0010768126346015793,0.0312275664034458,0.966618808327351,0.0007178750897343862
83126,0.0,0.0,0.05084745762711865,0.9470338983050848,0.0
83124,0.009708737864077669,0.0,0.0,0.9611650485436893,0.019417475728155338
83128,0.008547008547008548,0.004662004662004662,0.023310023310023312,0.9448329448329449,0.017871017871017872
12701,0.008609635464370763,0.2738596812603041,0.058527202784392746,0.5838981498442938,0.07501373877999634
